DATE_NAME,GEOGRAPHY_NAME,GEOGRAPHY_CODE,AGE_NAME,OBS_VALUE
2024,City of London,E09000001,Aged under 1 year,54
2024,City of London,E09000001,Aged 1 - 4 years,185
2024,City of London,E09000001,Aged 5 - 9 years,219
2024,City of London,E09000001,Aged 10 - 14 years,219
2024,City of London,E09000001,Aged 15 - 19 years,478
2024,City of London,E09000001,Aged 20 - 24 years,2055
2024,City of London,E09000001,Aged 25 - 29 years,2710
2024,City of London,E09000001,Aged 30 - 34 years,2413
2024,City of London,E09000001,Aged 35 - 39 years,1598
2024,City of London,E09000001,Aged 40 - 44 years,1040
2024,City of London,E09000001,Aged 45 - 49 years,785
2024,City of London,E09000001,Aged 50 - 54 years,775
2024,City of London,E09000001,Aged 55 - 59 years,650
2024,City of London,E09000001,Aged 60 - 64 years,531
2024,City of London,E09000001,Aged 65 - 69 years,471
2024,City of London,E09000001,Aged 70 - 74 years,315
2024,City of London,E09000001,Aged 75 - 79 years,301
2024,City of London,E09000001,Aged 80 - 84 years,168
2024,City of London,E09000001,Aged 85 and over,144
2024,Barking and Dagenham,E09000002,Aged under 1 year,3514
2024,Barking and Dagenham,E09000002,Aged 1 - 4 years,14539
2024,Barking and Dagenham,E09000002,Aged 5 - 9 years,18701
2024,Barking and Dagenham,E09000002,Aged 10 - 14 years,18341
2024,Barking and Dagenham,E09000002,Aged 15 - 19 years,17523
2024,Barking and Dagenham,E09000002,Aged 20 - 24 years,15242
2024,Barking and Dagenham,E09000002,Aged 25 - 29 years,18255
2024,Barking and Dagenham,E09000002,Aged 30 - 34 years,18168
2024,Barking and Dagenham,E09000002,Aged 35 - 39 years,19197
2024,Barking and Dagenham,E09000002,Aged 40 - 44 years,18319
2024,Barking and Dagenham,E09000002,Aged 45 - 49 years,15448
2024,Barking and Dagenham,E09000002,Aged 50 - 54 years,14006
2024,Barking and Dagenham,E09000002,Aged 55 - 59 years,12183
2024,Barking and Dagenham,E09000002,Aged 60 - 64 years,9299
2024,Barking and Dagenham,E09000002,Aged 65 - 69 years,6788
2024,Barking and Dagenham,E09000002,Aged 70 - 74 years,4659
2024,Barking and Dagenham,E09000002,Aged 75 - 79 years,3742
2024,Barking and Dagenham,E09000002,Aged 80 - 84 years,2368
2024,Barking and Dagenham,E09000002,Aged 85 and over,2455
2024,Barnet,E09000003,Aged under 1 year,4570
2024,Barnet,E09000003,Aged 1 - 4 years,19717
2024,Barnet,E09000003,Aged 5 - 9 years,25981
2024,Barnet,E09000003,Aged 10 - 14 years,27344
2024,Barnet,E09000003,Aged 15 - 19 years,24741
2024,Barnet,E09000003,Aged 20 - 24 years,22589
2024,Barnet,E09000003,Aged 25 - 29 years,29770
2024,Barnet,E09000003,Aged 30 - 34 years,29535
2024,Barnet,E09000003,Aged 35 - 39 years,29891
2024,Barnet,E09000003,Aged 40 - 44 years,30818
2024,Barnet,E09000003,Aged 45 - 49 years,28588
2024,Barnet,E09000003,Aged 50 - 54 years,26499
2024,Barnet,E09000003,Aged 55 - 59 years,23843
2024,Barnet,E09000003,Aged 60 - 64 years,20506
2024,Barnet,E09000003,Aged 65 - 69 years,16861
2024,Barnet,E09000003,Aged 70 - 74 years,13925
2024,Barnet,E09000003,Aged 75 - 79 years,12416
2024,Barnet,E09000003,Aged 80 - 84 years,8205
2024,Barnet,E09000003,Aged 85 and over,9251
2024,Bexley,E09000004,Aged under 1 year,2644
2024,Bexley,E09000004,Aged 1 - 4 years,12194
2024,Bexley,E09000004,Aged 5 - 9 years,16552
2024,Bexley,E09000004,Aged 10 - 14 years,17159
2024,Bexley,E09000004,Aged 15 - 19 years,15616
2024,Bexley,E09000004,Aged 20 - 24 years,14014
2024,Bexley,E09000004,Aged 25 - 29 years,15524
2024,Bexley,E09000004,Aged 30 - 34 years,17864
2024,Bexley,E09000004,Aged 35 - 39 years,19147
2024,Bexley,E09000004,Aged 40 - 44 years,19023
2024,Bexley,E09000004,Aged 45 - 49 years,16649
2024,Bexley,E09000004,Aged 50 - 54 years,16305
2024,Bexley,E09000004,Aged 55 - 59 years,16468
2024,Bexley,E09000004,Aged 60 - 64 years,14824
2024,Bexley,E09000004,Aged 65 - 69 years,11523
2024,Bexley,E09000004,Aged 70 - 74 years,9513
2024,Bexley,E09000004,Aged 75 - 79 years,9049
2024,Bexley,E09000004,Aged 80 - 84 years,6000
2024,Bexley,E09000004,Aged 85 and over,6366
2024,Brent,E09000005,Aged under 1 year,4309
2024,Brent,E09000005,Aged 1 - 4 years,16983
2024,Brent,E09000005,Aged 5 - 9 years,20131
2024,Brent,E09000005,Aged 10 - 14 years,20444
2024,Brent,E09000005,Aged 15 - 19 years,22058
2024,Brent,E09000005,Aged 20 - 24 years,29491
2024,Brent,E09000005,Aged 25 - 29 years,34345
2024,Brent,E09000005,Aged 30 - 34 years,29301
2024,Brent,E09000005,Aged 35 - 39 years,26070
2024,Brent,E09000005,Aged 40 - 44 years,24591
2024,Brent,E09000005,Aged 45 - 49 years,22481
2024,Brent,E09000005,Aged 50 - 54 years,21207
2024,Brent,E09000005,Aged 55 - 59 years,20901
2024,Brent,E09000005,Aged 60 - 64 years,17717
2024,Brent,E09000005,Aged 65 - 69 years,13940
2024,Brent,E09000005,Aged 70 - 74 years,10348
2024,Brent,E09000005,Aged 75 - 79 years,7548
2024,Brent,E09000005,Aged 80 - 84 years,5355
2024,Brent,E09000005,Aged 85 and over,5756
2024,Bromley,E09000006,Aged under 1 year,3402
2024,Bromley,E09000006,Aged 1 - 4 years,15197
2024,Bromley,E09000006,Aged 5 - 9 years,20787
2024,Bromley,E09000006,Aged 10 - 14 years,21588
2024,Bromley,E09000006,Aged 15 - 19 years,18653
2024,Bromley,E09000006,Aged 20 - 24 years,14167
2024,Bromley,E09000006,Aged 25 - 29 years,18278
2024,Bromley,E09000006,Aged 30 - 34 years,21723
2024,Bromley,E09000006,Aged 35 - 39 years,25155
2024,Bromley,E09000006,Aged 40 - 44 years,25996
2024,Bromley,E09000006,Aged 45 - 49 years,24388
2024,Bromley,E09000006,Aged 50 - 54 years,23293
2024,Bromley,E09000006,Aged 55 - 59 years,22702
2024,Bromley,E09000006,Aged 60 - 64 years,20006
2024,Bromley,E09000006,Aged 65 - 69 years,15443
2024,Bromley,E09000006,Aged 70 - 74 years,13143
2024,Bromley,E09000006,Aged 75 - 79 years,13579
2024,Bromley,E09000006,Aged 80 - 84 years,8567
2024,Bromley,E09000006,Aged 85 and over,9252
2024,Camden,E09000007,Aged under 1 year,1954
2024,Camden,E09000007,Aged 1 - 4 years,7688
2024,Camden,E09000007,Aged 5 - 9 years,9430
2024,Camden,E09000007,Aged 10 - 14 years,9926
2024,Camden,E09000007,Aged 15 - 19 years,14799
2024,Camden,E09000007,Aged 20 - 24 years,25561
2024,Camden,E09000007,Aged 25 - 29 years,23676
2024,Camden,E09000007,Aged 30 - 34 years,19771
2024,Camden,E09000007,Aged 35 - 39 years,15893
2024,Camden,E09000007,Aged 40 - 44 years,13329
2024,Camden,E09000007,Aged 45 - 49 years,13119
2024,Camden,E09000007,Aged 50 - 54 years,12818
2024,Camden,E09000007,Aged 55 - 59 years,12326
2024,Camden,E09000007,Aged 60 - 64 years,10341
2024,Camden,E09000007,Aged 65 - 69 years,7743
2024,Camden,E09000007,Aged 70 - 74 years,6260
2024,Camden,E09000007,Aged 75 - 79 years,5538
2024,Camden,E09000007,Aged 80 - 84 years,3516
2024,Camden,E09000007,Aged 85 and over,3255
2024,Croydon,E09000008,Aged under 1 year,5053
2024,Croydon,E09000008,Aged 1 - 4 years,20702
2024,Croydon,E09000008,Aged 5 - 9 years,25831
2024,Croydon,E09000008,Aged 10 - 14 years,26127
2024,Croydon,E09000008,Aged 15 - 19 years,24908
2024,Croydon,E09000008,Aged 20 - 24 years,21950
2024,Croydon,E09000008,Aged 25 - 29 years,30377
2024,Croydon,E09000008,Aged 30 - 34 years,32839
2024,Croydon,E09000008,Aged 35 - 39 years,32895
2024,Croydon,E09000008,Aged 40 - 44 years,30488
2024,Croydon,E09000008,Aged 45 - 49 years,27183
2024,Croydon,E09000008,Aged 50 - 54 years,25132
2024,Croydon,E09000008,Aged 55 - 59 years,26115
2024,Croydon,E09000008,Aged 60 - 64 years,23008
2024,Croydon,E09000008,Aged 65 - 69 years,16927
2024,Croydon,E09000008,Aged 70 - 74 years,13181
2024,Croydon,E09000008,Aged 75 - 79 years,11408
2024,Croydon,E09000008,Aged 80 - 84 years,7455
2024,Croydon,E09000008,Aged 85 and over,7763
2024,Ealing,E09000009,Aged under 1 year,4598
2024,Ealing,E09000009,Aged 1 - 4 years,17606
2024,Ealing,E09000009,Aged 5 - 9 years,22097
2024,Ealing,E09000009,Aged 10 - 14 years,23506
2024,Ealing,E09000009,Aged 15 - 19 years,23899
2024,Ealing,E09000009,Aged 20 - 24 years,27965
2024,Ealing,E09000009,Aged 25 - 29 years,33284
2024,Ealing,E09000009,Aged 30 - 34 years,31662
2024,Ealing,E09000009,Aged 35 - 39 years,29782
2024,Ealing,E09000009,Aged 40 - 44 years,29345
2024,Ealing,E09000009,Aged 45 - 49 years,26920
2024,Ealing,E09000009,Aged 50 - 54 years,24637
