station_id,station_name,borough_name,zone,lines,annualised_total,borough_population,borough_total_jobs,borough_children_share,borough_student_age_share,borough_young_professional_share,total_retail,total_dining,total_tourism,total_office,total_education,total_leisure,resident_density,daytime_workers,retail_intensity,dining_intensity,tourism_intensity,office_intensity,student_presence,family_presence,affluence,interchange_score,footfall_proxy,zone_centrality
940GZZLUACT,Acton Town,Ealing,3,District|Piccadilly,4823835.0,385985.0,168000.0,0.1756726297654054,0.13436791585165225,0.16826042462790006,44.0,40.0,13.0,20.0,15.0,76.0,3.497,0.336,5.76,4.339,4.641,4.433,5.346,6.95,3.614,1.25,5.167,6.0
940GZZLUALD,Aldgate,City of London,1,Circle|Metropolitan,6897314.0,15111.0,759000.0,0.044801800013235395,0.16762623254582754,0.33902455165111506,294.0,794.0,162.0,490.0,43.0,139.0,1.834,10.0,8.19,9.016,9.018,9.489,8.494,3.252,10.0,1.25,5.806,10.0
940GZZLUADE,Aldgate East,Tower Hamlets,1,District|Hammersmith & City,10947896.0,331886.0,370000.0,0.15874125452715693,0.17106476320182232,0.27629668018536485,325.0,676.0,115.0,458.0,55.0,145.0,10.0,1.377,8.389,8.814,8.4,9.287,8.638,6.811,7.496,1.25,6.631,10.0
940GZZLUALP,Alperton,Brent,4,Piccadilly,2598605.0,352976.0,153000.0,0.17527253977607543,0.1460410906123929,0.18031254249580708,26.0,14.0,1.0,4.0,7.0,21.0,4.432,0.321,5.538,3.265,0.942,2.592,4.768,5.206,3.023,0.0,4.061,4.0
940GZZLUAMS,Amersham,,9,Metropolitan,1729521.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.013,0.704,0.0,0.0,0.0,0.0,0.388,0.0,0.0,0.0,3.334,0.0
940GZZLUAGL,Angel,Islington,1,Northern,12258814.0,223024.0,280000.0,0.13345648898773227,0.15143661668699332,0.2616489705143841,160.0,271.0,69.0,106.0,38.0,132.0,9.707,1.57,7.565,7.309,6.792,6.89,7.745,6.198,6.584,0.0,6.833,10.0
940GZZLUACY,Archway,Islington,2+3,Northern,7137484.0,223024.0,280000.0,0.13345648898773227,0.15143661668699332,0.2616489705143841,47.0,86.0,16.0,27.0,24.0,110.0,9.707,1.57,5.808,5.842,5.896,4.499,6.992,6.003,5.471,0.0,5.867,8.0
940GZZLUASG,Arnos Grove,Enfield,4,Piccadilly,3293586.0,327434.0,133000.0,0.20000366486070476,0.12773261176298123,0.12931460996719948,19.0,11.0,7.0,7.0,10.0,36.0,1.21,0.305,4.64,2.826,3.072,2.958,4.488,6.717,2.147,0.0,4.485,4.0
940GZZLUASL,Arsenal,Islington,2,Piccadilly,2203557.0,223024.0,280000.0,0.13345648898773227,0.15143661668699332,0.2616489705143841,175.0,208.0,23.0,33.0,47.0,70.0,9.707,1.57,7.61,6.782,4.881,4.49,7.877,5.258,6.275,0.0,3.767,8.0
940GZZLUBST,Baker Street,Westminster,1,Bakerloo|Circle|Hammersmith & City|Jubilee|Metropolitan,21207073.0,209996.0,846000.0,0.11697365664107888,0.14739328368159393,0.22449951427646242,152.0,221.0,87.0,363.0,88.0,97.0,5.487,3.846,6.198,7.006,7.672,8.224,8.482,5.614,5.858,5.0,7.813,10.0
940GZZLUBLM,Balham,Wandsworth,3,Northern,9828394.0,337655.0,151000.0,0.14748782040840502,0.11276598895322149,0.28188535635485923,39.0,71.0,3.0,22.0,23.0,23.0,5.528,0.273,5.751,5.326,1.885,3.92,6.261,4.214,4.803,0.0,6.439,6.0
940GZZLUBNK,Bank,City of London,1,Central|Northern|Waterloo & City,37200346.0,15111.0,759000.0,0.044801800013235395,0.16762623254582754,0.33902455165111506,176.0,746.0,90.0,552.0,12.0,129.0,1.834,10.0,7.35,8.988,8.137,9.799,6.538,3.143,9.389,2.5,8.817,10.0
940GZZLUBBN,Barbican,City of London,1,Circle|Hammersmith & City|Metropolitan,5185508.0,15111.0,759000.0,0.044801800013235395,0.16762623254582754,0.33902455165111506,216.0,458.0,82.0,632.0,40.0,175.0,1.834,10.0,7.6,8.446,7.658,9.685,8.53,3.748,9.441,2.5,5.296,10.0
940GZZLUBKG,Barking,Barking & Dagenham,4,District|Hammersmith & City,15137045.0,232747.0,68000.0,0.2367162627230426,0.14077517647918125,0.1564918129986638,149.0,62.0,10.0,37.0,24.0,53.0,2.888,0.0,7.395,5.484,4.115,5.192,6.195,8.294,4.176,1.25,7.21,4.0
940GZZLUBKE,Barkingside,Redbridge,4,Central,1167037.0,321231.0,98000.0,0.2024617798406754,0.13156575797479073,0.15923743349801234,35.0,30.0,10.0,11.0,9.0,33.0,2.526,0.036,5.716,3.932,3.26,3.124,4.638,6.826,3.16,0.0,2.631,4.0
940GZZLUBSC,Barons Court,Hammersmith & Fulham,2,District|Piccadilly,5240900.0,188687.0,161000.0,0.14172147524736733,0.14244224562370486,0.23704865730018496,68.0,116.0,11.0,107.0,65.0,103.0,6.614,1.038,5.952,6.148,4.543,7.311,8.019,6.114,4.851,1.25,5.315,8.0
940GZZBPSUST,Battersea Power Station,Wandsworth,1,Northern,8399835.0,337655.0,151000.0,0.14748782040840502,0.11276598895322149,0.28188535635485923,54.0,67.0,9.0,24.0,9.0,136.0,5.528,0.273,6.35,5.119,3.13,5.252,4.952,6.752,5.347,0.0,6.158,10.0
