station_id,station_name,dining,education,healthcare,office,retail,tourism,leisure
940GZZLUACT,Acton Town,36,0,8,12,11,11,11
940GZZLUALD,Aldgate,506,7,55,96,99,124,39
940GZZLUADE,Aldgate East,407,6,35,87,74,77,35
940GZZLUALP,Alperton,10,1,3,0,4,1,0
940GZZLUAGL,Angel,170,4,9,21,68,62,20
940GZZLUACY,Archway,29,0,0,8,18,14,10
940GZZLUASG,Arnos Grove,11,0,1,1,10,6,0
940GZZLUASL,Arsenal,172,0,9,24,75,20,12
940GZZLUBST,Baker Street,150,3,37,99,121,40,13
940GZZLUBLM,Balham,60,1,7,18,8,3,3
940GZZLUBNK,Bank,509,4,59,116,82,57,29
940GZZLUBBN,Barbican,197,7,33,138,70,60,22
940GZZLUBKG,Barking,23,1,6,9,13,8,9
940GZZLUBKE,Barkingside,29,0,6,9,19,10,0
940GZZLUBSC,Barons Court,62,2,8,21,22,3,6
940GZZBPSUST,Battersea Power Station,61,0,1,5,35,9,10
940GZZLUBWT,Bayswater,156,7,15,41,93,23,11
940GZZLUBEC,Becontree,2,0,1,0,1,0,1
940GZZLUBZP,Belsize Park,34,3,9,3,9,6,8
940GZZLUBMY,Bermondsey,59,0,4,11,26,7,11
940GZZLUBLG,Bethnal Green,80,1,16,13,36,6,17
940GZZLUBKF,Blackfriars,218,3,22,95,26,57,10
940GZZLUBLR,Blackhorse Road,19,1,2,6,6,5,5
940GZZLUBND,Bond Street,344,7,45,129,334,71,13
940GZZLUBOR,Borough,236,9,8,39,54,37,27
940GZZLUBOS,Boston Manor,3,0,0,0,1,4,1
940GZZLUBDS,Bounds Green,29,0,5,13,21,13,2
940GZZLUBWR,Bow Road,51,1,10,15,30,65,10
940GZZLUBTX,Brent Cross,16,0,4,3,35,2,2
940GZZLUBXN,Brixton,102,1,5,18,40,8,12
940GZZLUBBB,Bromley-by-Bow,22,0,4,9,12,18,22
940GZZLUBTK,Burnt Oak,4,2,3,1,6,0,1
940GZZLUCAR,Caledonian Road,89,1,10,7,36,12,13
940GZZLUCTN,Camden Town,108,1,8,34,47,26,8
940GZZLUCWR,Canada Water,39,1,5,8,17,10,17
940GZZLUCYF,Canary Wharf,234,3,30,54,64,31,17
940GZZLUCGT,Canning Town,56,1,12,17,30,41,17
