station_id,station_name,polygon_dining,polygon_education,polygon_healthcare,polygon_office,polygon_retail,polygon_tourism,polygon_leisure,polygon_area_m2_dining,polygon_area_m2_education,polygon_area_m2_healthcare,polygon_area_m2_office,polygon_area_m2_retail,polygon_area_m2_tourism,polygon_area_m2_leisure
940GZZLUACT,Acton Town,4.0,15.0,1.0,8.0,33.0,2.0,65.0,335.62165144774093,69568.82542376022,545.409399164438,15486.213892303178,66238.48904223008,8144.028356838309,346228.7478122375
940GZZLUALD,Aldgate,288.0,36.0,9.0,394.0,195.0,38.0,100.0,34408.674973988425,56744.97536963971,2398.0714681241825,1005675.1793154516,180107.69596851355,80268.43845603235,54795.67849183364
940GZZLUADE,Aldgate East,269.0,49.0,13.0,371.0,251.0,38.0,110.0,32717.01418863787,98644.12807919203,18223.45318872725,720936.2517342875,228350.61667879997,57691.11435082063,65562.97610389748
940GZZLUALP,Alperton,4.0,6.0,1.0,4.0,22.0,0.0,21.0,589.2740860152007,58412.55600047328,139.64831032103825,7390.638456061678,160566.8231173496,0.0,146790.3424799731
940GZZLUAMS,Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940GZZLUAGL,Angel,101.0,34.0,5.0,85.0,92.0,7.0,112.0,9417.485789806837,122577.26322536946,284.98676097583746,91370.5331265532,197531.0971999876,7464.948161931479,199905.6471286812
940GZZLUACY,Archway,57.0,24.0,12.0,19.0,29.0,2.0,100.0,5788.1467800146065,75373.406065157,75562.86627265827,7598.784856883162,62290.584334634834,72460.24277934013,222022.3520932719
940GZZLUASG,Arnos Grove,0.0,10.0,1.0,6.0,9.0,1.0,36.0,0.0,75507.86845876607,335.25220725741417,4652.32396580945,35326.72569341896,672.4335300777103,247212.13186778777
940GZZLUASL,Arsenal,36.0,47.0,3.0,9.0,100.0,3.0,58.0,4889.474672187522,91749.90496843595,742.2748543050634,3823.4170106420233,172514.49170108399,2244.2158279636474,96266.58368338768
940GZZLUBST,Baker Street,71.0,85.0,43.0,264.0,31.0,47.0,84.0,7698.932276427597,150492.19842388292,23638.929554132294,88013.22271824823,5412.849518123215,26978.586045950186,658962.6795696598
940GZZLUBLM,Balham,11.0,22.0,3.0,4.0,31.0,0.0,20.0,2191.286084588233,79718.09044825888,2908.4220523652257,2357.5264895177834,90850.22277132531,0.0,51376.52563287681
940GZZLUBNK,Bank,237.0,8.0,18.0,436.0,94.0,33.0,100.0,38456.069899369584,18805.776709764872,12678.146516222576,1600773.299541978,85391.9920695525,66459.1003791612,50486.55383639107
940GZZLUBBN,Barbican,261.0,33.0,18.0,494.0,146.0,22.0,153.0,39595.12962923578,75853.84515237,28969.56678504374,810148.2406890054,91903.43948402,31053.219832097646,135104.88040964052
940GZZLUBKG,Barking,39.0,23.0,7.0,28.0,136.0,2.0,44.0,5946.000594801409,124245.13499408202,2601.0416045381858,20699.154432437317,154987.4183940002,5034.8192383541345,248334.69197932113
940GZZLUBKE,Barkingside,1.0,9.0,1.0,2.0,16.0,0.0,33.0,67.47776920307145,69004.3217550219,67.18775607055724,1736.3279471061107,112186.25032490167,0.0,436058.3631240193
940GZZLUBSC,Barons Court,54.0,63.0,12.0,86.0,46.0,8.0,97.0,5277.876459519008,124872.0508758213,83935.1218671463,267240.9790832482,31722.203223495715,10562.49777534261,172330.4978483307
940GZZBPSUST,Battersea Power Station,6.0,9.0,1.0,19.0,19.0,0.0,126.0,1232.6048801068093,45802.48366284635,229.51888128002716,82873.97701203062,176447.2040278626,0.0,291352.4187442266
940GZZLUBWT,Bayswater,49.0,24.0,9.0,64.0,79.0,106.0,37.0,6834.201063249408,28239.70170533278,1522.0582612257472,58382.167292120575,76018.00301298576,45444.178416827504,463651.7146583976
