station_id,station_name,latitude,longitude,zone,lines
940GZZLUACT,Acton Town,51.503057,-0.280462,3,District|Piccadilly
940GZZLUALD,Aldgate,51.514246,-0.075689,1,Circle|Metropolitan
940GZZLUADE,Aldgate East,51.515037,-0.072384,1,District|Hammersmith & City
940GZZLUALP,Alperton,51.540627,-0.29961,4,Piccadilly
940GZZLUAMS,Amersham,51.674126,-0.607714,9,Metropolitan
940GZZLUAGL,Angel,51.532624,-0.105898,1,Northern
940GZZLUACY,Archway,51.565478,-0.134819,2+3,Northern
940GZZLUASG,Arnos Grove,51.616446,-0.133062,4,Piccadilly
940GZZLUASL,Arsenal,51.558655,-0.107457,2,Piccadilly
940GZZLUBST,Baker Street,51.522883,-0.15713,1,Bakerloo|Circle|Hammersmith & City|Jubilee|Metropolitan
940GZZLUBLM,Balham,51.443288,-0.152997,3,Northern
940GZZLUBNK,Bank,51.51225,-0.087792,1,Central|Northern|Waterloo & City
940GZZLUBBN,Barbican,51.520275,-0.097993,1,Circle|Hammersmith & City|Metropolitan
940GZZLUBKG,Barking,51.539321,0.081053,4,District|Hammersmith & City
940GZZLUBKE,Barkingside,51.585689,0.088585,4,Central
940GZZLUBSC,Barons Court,51.490311,-0.213427,2,District|Piccadilly
940GZZBPSUST,Battersea Power Station,51.479932,-0.142142,1,Northern
940GZZLUBWT,Bayswater,51.512284,-0.187938,1,Circle|District
940GZZLUBEC,Becontree,51.540331,0.127016,5,District
940GZZLUBZP,Belsize Park,51.550529,-0.164783,2,Northern
940GZZLUBMY,Bermondsey,51.49775,-0.063993,2,Jubilee
940GZZLUBLG,Bethnal Green,51.527222,-0.055506,2,Central
940GZZLUBKF,Blackfriars,51.511581,-0.103659,1,Circle|District
940GZZLUBLR,Blackhorse Road,51.586919,-0.04115,3,Victoria
940GZZLUBND,Bond Street,51.514304,-0.149723,1,Central|Jubilee
940GZZLUBOR,Borough,51.501199,-0.09337,1,Northern
940GZZLUBOS,Boston Manor,51.495635,-0.324939,4,Piccadilly
940GZZLUBDS,Bounds Green,51.607034,-0.124235,3+4,Piccadilly
940GZZLUBWR,Bow Road,51.52694,-0.025128,2,District|Hammersmith & City
940GZZLUBTX,Brent Cross,51.57665,-0.213622,3,Northern
940GZZLUBXN,Brixton,51.462618,-0.114888,2,Victoria
940GZZLUBBB,Bromley-by-Bow,51.524839,-0.011538,2/3,District|Hammersmith & City
940GZZLUBKH,Buckhurst Hill,51.626605,0.046757,5,167|677|Central|W14
940GZZLUBTK,Burnt Oak,51.602774,-0.264048,4,Northern
940GZZLUCAR,Caledonian Road,51.548519,-0.118493,2,Piccadilly
940GZZLUCTN,Camden Town,51.539292,-0.14274,2,Northern
940GZZLUCWR,Canada Water,51.497931,-0.049405,2,Jubilee
940GZZLUCYF,Canary Wharf,51.503488,-0.018246,2,Jubilee
940GZZLUCGT,Canning Town,51.513584,0.008322,2/3,Jubilee
940GZZLUCST,Cannon Street,51.51151,-0.090432,1,Circle|District
940GZZLUCPK,Canons Park,51.607701,-0.294693,5,Jubilee
940GZZLUCAL,Chalfont & Latimer,51.667985,-0.560689,8,Metropolitan
940GZZLUCFM,Chalk Farm,51.544118,-0.153388,2,Northern
940GZZLUCHL,Chancery Lane,51.518247,-0.111583,1,Central
940GZZLUCHX,Charing Cross,51.50741,-0.127277,1,Bakerloo|Northern
940GZZLUCSM,Chesham,51.705208,-0.611247,9,Metropolitan
940GZZLUCWL,Chigwell,51.617916,0.075041,4,167|667|677|Central
940GZZLUCWP,Chiswick Park,51.494627,-0.267972,3,District
940GZZLUCYD,Chorleywood,51.654358,-0.518461,7,Metropolitan
940GZZLUCPC,Clapham Common,51.461742,-0.138317,2,Northern
940GZZLUCPN,Clapham North,51.465135,-0.130016,2,Northern
