station_id,station_name,latitude,longitude,zone,lines,mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
940GZZLUACT,Acton Town,51.503057,-0.280462,3,District|Piccadilly,LU,500,ACTu,Acton Town,Station entry/exit,Gateline,7288,8125,8016,6552,4684,7546,8438,8245,6696,5224,103940,1188670,4823835
940GZZLUALD,Aldgate,51.514246,-0.075689,1,Circle|Metropolitan,LU,502,ALDu,Aldgate,Station entry/exit,Gateline,10183,12769,9612,6518,4860,11247,14494,11040,7982,5387,148617,1699609,6897314
940GZZLUADE,Aldgate East,51.515037,-0.072384,1,District|Hammersmith & City,LU,503,ALEu,Aldgate East,Station entry/exit,Gateline,16046,19106,18158,17203,12549,15225,17758,17903,17163,11058,235895,2697738,10947896
940GZZLUALP,Alperton,51.540627,-0.29961,4,Piccadilly,LU,505,ALPu,Alperton,Station entry/exit,Gateline,4187,4234,4294,3532,2487,4497,4539,4413,3682,2580,55992,640338,2598605
940GZZLUAMS,Amersham,51.674126,-0.607714,9,Metropolitan,LU,506,AMEu,Amersham,Station entry/exit,Gateline,2807,3373,2724,2093,1209,2712,3237,2748,1914,1228,37266,426182,1729521
940GZZLUAGL,Angel,51.532624,-0.105898,1,Northern,LU,507,ANGu,Angel,Station entry/exit,Gateline,16331,20242,19840,18253,12006,17207,21791,21935,20196,12276,264142,3020769,12258814
940GZZLUACY,Archway,51.565478,-0.134819,2+3,Northern,LU,508,ARCu,Archway,Station entry/exit,Gateline,11128,12701,12423,10171,7087,10801,12259,11356,9107,6838,153792,1758791,7137484
940GZZLUASG,Arnos Grove,51.616446,-0.133062,4,Piccadilly,LU,509,AGRu,Arnos Grove,Station entry/exit,Gateline,5172,5771,5770,4808,3488,4865,5400,5417,4542,3391,70967,811592,3293586
940GZZLUASL,Arsenal,51.558655,-0.107457,2,Piccadilly,LU,510,ARLu,Arsenal,Station entry/exit,Gateline,3118,3827,3740,3734,2482,3002,3553,3338,3470,2459,47480,542992,2203557
940GZZLUBST,Baker Street,51.522883,-0.15713,1,Bakerloo|Circle|Hammersmith & City|Jubilee|Metropolitan,LU,511,BSTu,Baker Street,Station entry/exit,Gateline,32085,36489,36140,29380,18964,32697,37438,37109,29574,19221,456950,5225764,21207073
