mode,mnlc,masc,station,coverage,source,entries_monday,entries_midweek,entries_friday,entries_saturday,entries_sunday,exits_monday,exits_midweek,exits_friday,exits_saturday,exits_sunday,weekly_total,twelve_week_total,annualised_total
LU,500,ACTu,Acton Town,Station entry/exit,Gateline,7288,8125,8016,6552,4684,7546,8438,8245,6696,5224,103940,1188670,4823835
LU,502,ALDu,Aldgate,Station entry/exit,Gateline,10183,12769,9612,6518,4860,11247,14494,11040,7982,5387,148617,1699609,6897314
LU,503,ALEu,Aldgate East,Station entry/exit,Gateline,16046,19106,18158,17203,12549,15225,17758,17903,17163,11058,235895,2697738,10947896
LU,505,ALPu,Alperton,Station entry/exit,Gateline,4187,4234,4294,3532,2487,4497,4539,4413,3682,2580,55992,640338,2598605
LU,506,AMEu,Amersham,Station entry/exit,Gateline,2807,3373,2724,2093,1209,2712,3237,2748,1914,1228,37266,426182,1729521
LU,507,ANGu,Angel,Station entry/exit,Gateline,16331,20242,19840,18253,12006,17207,21791,21935,20196,12276,264142,3020769,12258814
LU,508,ARCu,Archway,Station entry/exit,Gateline,11128,12701,12423,10171,7087,10801,12259,11356,9107,6838,153792,1758791,7137484
LU,509,AGRu,Arnos Grove,Station entry/exit,Gateline,5172,5771,5770,4808,3488,4865,5400,5417,4542,3391,70967,811592,3293586
LU,510,ARLu,Arsenal,Station entry/exit,Gateline,3118,3827,3740,3734,2482,3002,3553,3338,3470,2459,47480,542992,2203557
LU,511,BSTu,Baker Street,Station entry/exit,Gateline,32085,36489,36140,29380,18964,32697,37438,37109,29574,19221,456950,5225764,21207073
LU,512,BALu,Balham LU,Station entry/exit,Gateline,14062,16938,16374,15977,9477,14040,16854,15633,15309,9524,211773,2421874,9828394
LU,513,BNKu,Bank and Monument,Station entry/exit,Gateline,58761,79701,52366,27620,18080,60145,81267,54557,29072,18054,801559,9166763,37200346
LU,501,BARu,Barbican,Station entry/exit,Gateline,8391,10100,7908,4566,3558,8727,10611,8123,4724,3603,111733,1277793,5185508
LU,514,BKGu,Barking,Station entry/exit,Gateline,24831,26140,25508,20113,14261,24873,26327,25471,19439,14263,326159,3730011,15137045
LU,515,BDEu,Barkingside,Station entry/exit,Gateline,1908,2130,1914,1330,925,1947,2168,1932,1343,953,25146,287577,1167037
LU,516,BCTu,Barons Court,Station entry/exit,Gateline,8287,10030,8812,6366,4332,8274,9161,8707,6131,4444,112926,1291442,5240900
